Source,Target,Path,Steps
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> pet - psychological equivalent temperature -> nature based solution,8
population growth rate,opex recovery,population growth rate -> urbanization -> population density -> coverage of water supply (area) -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
population growth rate,opex recovery,population growth rate -> urbanization -> city area -> coverage of water supply (area) -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
population growth rate,opex recovery,population growth rate -> total population -> population density -> coverage of water supply (area) -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
population growth rate,pet - psychological equivalent temperature,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,8
population growth rate,pet - psychological equivalent temperature,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,8
population growth rate,pet - psychological equivalent temperature,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,8
population growth rate,pet - psychological equivalent temperature,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,8
population growth rate,pet - psychological equivalent temperature,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,8
population growth rate,price-to-income ratio (pir),population growth rate -> urbanization -> housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-income ratio (pir),8
population growth rate,price-to-income ratio (pir),population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir),8
population growth rate,price-to-rent ratio (ptr),population growth rate -> urbanization -> housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-rent ratio (ptr),8
population growth rate,price-to-rent ratio (ptr),population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-rent ratio (ptr),8
population growth rate,property listing price,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price,8
population growth rate,surface absorption,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption,8
population growth rate,surface absorption,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption,8
population growth rate,surface emissivity,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity,8
population growth rate,surface emissivity,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity,8
population growth rate,svf - skyview factor,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor,8
population growth rate,svf - skyview factor,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor,8
population growth rate,total pump installed capacity,population growth rate -> urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,8
population growth rate,total water production,population growth rate -> urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,8
population growth rate,total water production,population growth rate -> urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,8
population growth rate,unitary opex,population growth rate -> total population -> consumption per capita -> total water demand -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,8
population growth rate,utci - universal thermal climate index,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,8
population growth rate,utci - universal thermal climate index,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,8
population growth rate,utci - universal thermal climate index,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,8
population growth rate,utci - universal thermal climate index,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,8
population growth rate,utci - universal thermal climate index,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,8
population growth rate,vapor pressure,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure,8
precipitation,opex recovery,precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,8
soil material,unitary opex,soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,8
soil permeability,opex recovery,soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,8
surface emissivity,energy consumption per year,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,8
surface emissivity,opex recovery,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,8
surface emissivity,opex recovery,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,8
surface emissivity,opex recovery,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,8
surface emissivity,service time,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,8
surface emissivity,service time,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,8
surface material,pumping efficiency,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,8
surface material,supply security,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,8
surface material,supply security,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,8
surface material,unitary opex,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,8
surface material,unitary opex,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,8
surface material,unitary opex,surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,8
total population,opex recovery,total population -> consumption per capita -> total water demand -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,8
urbanization,air temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature,8
urbanization,air temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature,8
urbanization,air temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature,8
urbanization,air temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature,8
urbanization,available fresh water per capita,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,8
urbanization,available fresh water per capita,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,8
urbanization,available fresh water per capita,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita,8
urbanization,house price index (hpi),urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> house price index (hpi),8
urbanization,housing affordability stress,urbanization -> housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,8
urbanization,housing affordability stress,urbanization -> housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> ltv- loan to value ratio -> housing affordability stress,8
urbanization,housing affordability stress,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,8
urbanization,housing affordability stress,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> ltv- loan to value ratio -> housing affordability stress,8
urbanization,lst - land surface temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature,8
urbanization,lst - land surface temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature,8
urbanization,ltv- loan to value ratio,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio,8
urbanization,nature based solution,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,8
urbanization,nature based solution,urbanization -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,8
urbanization,nature based solution,urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,8
urbanization,nature based solution,urbanization -> housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,8
urbanization,opex recovery,urbanization -> city area -> population density -> coverage of water supply (area) -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
urbanization,pet - psychological equivalent temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure -> pet - psychological equivalent temperature,8
urbanization,price-to-income ratio (pir),urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir),8
urbanization,price-to-rent ratio (ptr),urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-rent ratio (ptr),8
urbanization,pumping efficiency,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,8
urbanization,supply security,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,8
urbanization,supply security,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,8
urbanization,tmrt - mean radiant temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature,8
urbanization,tmrt - mean radiant temperature,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature,8
urbanization,unitary opex,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,8
urbanization,unitary opex,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,8
urbanization,unitary opex,urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,8
urbanization,utci - universal thermal climate index,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure -> utci - universal thermal climate index,8
vegetation coverage,area affected by drought,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,8
vegetation coverage,energy consumption per year,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,8
vegetation coverage,total pump installed capacity,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,8
vegetation coverage,total water production,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,8
vegetation coverage,total water production,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,8
water treatment efficiency,opex recovery,water treatment efficiency -> overall water quality -> user acceptance of water -> population with access to drinking water -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
yearly samples meeting standards,opex recovery,yearly samples meeting standards -> overall water quality -> user acceptance of water -> population with access to drinking water -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,8
yearly samples taken,collection ratio,yearly samples taken -> yearly samples meeting standards -> overall water quality -> user acceptance of water -> population with access to drinking water -> number of users -> operational meters -> metered residential water -> collection ratio,8
built up surface coverage,imported water level,built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level,7
built up surface coverage,total extraction,built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction,7
city area,opex recovery,city area -> population density -> coverage of water supply (area) -> number of users -> operational meters -> metered residential water -> collection ratio -> opex recovery,7
climate change,energy consumption per year,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,7
climate change,opex recovery,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,7
climate change,opex recovery,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,7
climate change,opex recovery,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,7
climate change,service time,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,7
climate change,service time,climate change -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,7
consumption per capita,opex recovery,consumption per capita -> total water demand -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,7
housing demand,air temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature,7
housing demand,air temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature,7
housing demand,air temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature,7
housing demand,air temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature,7
housing demand,available fresh water per capita,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita,7
housing demand,house price index (hpi),housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> house price index (hpi),7
housing demand,housing affordability stress,housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,7
housing demand,housing affordability stress,housing demand -> planning approvals -> property location -> land benchmark price (zone) -> unitary listing price -> property listing price -> ltv- loan to value ratio -> housing affordability stress,7
housing demand,housing affordability stress,housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,7
housing demand,housing affordability stress,housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> property listing price -> ltv- loan to value ratio -> housing affordability stress,7
housing demand,lst - land surface temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature,7
housing demand,lst - land surface temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature,7
housing demand,ltv- loan to value ratio,housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio,7
housing demand,nature based solution,housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
housing demand,nature based solution,housing demand -> planning approvals -> new housing units completed -> anthropogenic heat -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
housing demand,pet - psychological equivalent temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure -> pet - psychological equivalent temperature,7
housing demand,price-to-income ratio (pir),housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir),7
housing demand,price-to-rent ratio (ptr),housing demand -> planning approvals -> new housing units completed -> land cover change -> park/green quality index (pgqi) -> spatial accessibility (straightness) -> property listing price -> price-to-rent ratio (ptr),7
housing demand,tmrt - mean radiant temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature,7
housing demand,tmrt - mean radiant temperature,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature,7
housing demand,utci - universal thermal climate index,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> relative humidity -> vapor pressure -> utci - universal thermal climate index,7
infiltration rate,opex recovery,infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,7
land cover change,available fresh water per capita,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,7
land cover change,available fresh water per capita,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,7
land cover change,nature based solution,land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
land cover change,nature based solution,land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
land cover change,nature based solution,land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
land cover change,nature based solution,land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
land cover change,nature based solution,land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
land cover change,nature based solution,land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
land cover change,nature based solution,land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
land cover change,nature based solution,land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
land cover change,pumping efficiency,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,7
land cover change,supply security,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,7
land cover change,supply security,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,7
land cover change,unitary opex,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,7
land cover change,unitary opex,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,7
land cover change,unitary opex,land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,7
lst - land surface temperature,energy consumption per year,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,7
lst - land surface temperature,opex recovery,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,7
lst - land surface temperature,opex recovery,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,7
lst - land surface temperature,opex recovery,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,7
lst - land surface temperature,service time,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,7
lst - land surface temperature,service time,lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,7
new housing units completed,area affected by drought,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,7
new housing units completed,energy consumption per year,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,7
new housing units completed,infiltration rate,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate,7
new housing units completed,infiltration rate,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> vegetation height -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> vegetation canopy -> svf - skyview factor -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> utci - universal thermal climate index -> nature based solution,7
new housing units completed,nature based solution,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> pet - psychological equivalent temperature -> nature based solution,7
new housing units completed,pet - psychological equivalent temperature,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,7
new housing units completed,pet - psychological equivalent temperature,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,7
new housing units completed,pet - psychological equivalent temperature,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,7
new housing units completed,pet - psychological equivalent temperature,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,7
new housing units completed,total pump installed capacity,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,7
new housing units completed,total water production,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,7
new housing units completed,total water production,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,7
new housing units completed,utci - universal thermal climate index,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,7
